את,3450
אשר,1696
יהוה,1548
אל,1399
לא,1305
כל,1165
על,1111
כי,1038
בני,680
יאמר,647
משה,629
ישראל,549
הוא,505
ס,394
הארץ,374
לו,357
בן,333
אם,330
לך,329
איש,327
עד,324
אתו,310
לאמר,305
פ,293
אתם,284
אהרן,270
אתה,268
לפני,260
או,256
ליהוה,255
אלהיך,252
מן,248
מצרים,248
שם,242
הכהן,239
לכם,234
אלהים,229
העם,219
הנה,219
היה,209
הזה,209
שנה,209
כאשר,208
יהיה,206
יהי,204
דבר,197
אחד,194
פרעה,186
אני,181
בכל,178
לי,177
גם,175
ביום,173
כן,171
אלה,171
יעקב,170
יוסף,170
להם,167
בארץ,160
ידבר,156
עליו,152
שני,151
עשה,148
נתן,146
אתכם,143
אנכי,140
מועד,138
בו,136
היום,135
ארץ,134
עשו,133
שנים,126
זהב,125
אברהם,124
אליו,124
אמר,123
ימים,122
ההוא,121
יתן,120
אשה,119
בין,118
צוה,117
פני,116
נא,111
משפחת,109
עם,108
יקח,108
מאות,107
קדש,107
יבא,106
זה,105
לכל,105
כסף,105
יקרא,102
אהל,102
בניו,101
אחרי,100
המזבח,100
ירא,99
יצא,99
אחיו,99
תעשה,98
שבע,98
אין,97
לבני,95
יאמרו,95
תחת,93
עשית,90
שמה,89
יום,88
יהיו,88
בית,87
אלי,87
מה,86
האלה,85
מכל,85
אלהם,85
בקר,85
אלהיכם,85
עתה,84
זאת,84
הזאת,84
הם,83
ישב,83
יעש,82
אלף,82
יצחק,80
אלהי,80
אדני,80
שתי,79
אביו,79
מלך,77
מאת,77
היו,77
למען,77
עשר,76
ממנו,76
בה,75
המשכן,75
שלשים,75
נפש,74
תאמר,74
אחת,74
השמים,73
הקדש,73
יסעו,73
עוד,72
בא,71
האיש,70
מאד,70
שבעת,70
עשרים,70
שמו,70
טמא,69
מי,68
לעשות,68
עמך,67
האחד,67
יחנו,67
האדמה,66
שש,66
בת,66
הדבר,66
חמשים,66
כנען,65
עמו,65
לנו,65
לבן,65
העדה,65
נתתי,65
תהיה,64
בשר,63
